1523457532189	M	[879,506]
1523457532307	A1	[11424,cmd.exe,Command Prompt - ActivityLogger.bat,993,519,130,130]
1523457532307	A1	[9068,Calculator.exe,Calculator,320,506,0,0]
1523457532307	A1	[1104,ApplicationFrameHost.exe,Calculator,336,514,1129,435]
1523457532307	A1	[8388,Explorer.EXE,Program Manager,1920,1080,0,0]
1523457532307	A8	[8388,Explorer.EXE,]
1523457532337	M	[879,506]
1523457532440	M	[879,506]
1523457532550	M	[879,506]
1523457532652	M	[879,506]
1523457532776	M	[879,506]
1523457532932	M	[879,506]
1523457533106	M	[879,506]
1523457533222	M	[879,506]
1523457533325	M	[879,506]
1523457533476	M	[879,506]
1523457533608	M	[879,506]
1523457533710	M	[879,506]
1523457533845	M	[879,506]
1523457534002	M	[879,506]
1523457534172	M	[879,506]
1523457534274	M	[879,506]
1523457534376	M	[879,506]
1523457534534	M	[879,484]
1523457534662	M	[851,0]
1523457534765	M	[765,18]
1523457534873	M	[702,81]
1523457534977	M	[659,112]
1523457535139	M	[627,149]
1523457535268	M	[627,150]
1523457535354	K3	[1,627,150]
1523457535369	M	[627,150]
1523457535476	M	[682,151]
1523457535578	M	[868,151]
1523457535623	A6	[11424,cmd.exe,993,519,371,131]
1523457535689	M	[868,151]
1523457535777	K4	[1,868,151]
1523457535791	M	[868,151]
1523457535893	M	[868,151]
1523457535997	M	[868,151]
1523457536150	M	[868,151]
1523457536291	M	[868,151]
1523457536393	M	[868,151]
1523457536525	M	[868,151]
1523457536681	M	[868,151]
1523457536856	M	[868,151]
1523457536961	M	[868,151]
1523457537062	M	[868,151]
1523457537240	M	[868,151]
1523457537353	M	[868,151]
1523457537454	M	[868,151]
1523457537601	M	[868,151]
1523457537773	M	[868,151]
1523457537920	M	[868,151]
1523457538027	M	[868,151]
1523457538161	M	[870,149]
1523457538316	M	[1036,114]
1523457538420	M	[1073,119]
1523457538524	M	[1144,135]
1523457538627	M	[1221,169]
1523457538748	M	[1223,160]
1523457538923	M	[1230,139]
1523457539089	M	[1231,136]
1523457539211	M	[1231,136]
1523457539313	M	[1231,136]
