1524756266887	A6	[8676,explorer.exe,1936,1056,-8,-8]
1524756266959	M	[1124,114]
1524756267063	M	[770,123]
1524756267176	M	[653,69]
1524756267280	M	[579,59]
1524756267392	M	[502,102]
1524756267516	M	[458,124]
1524756267626	K3	[1,458,124]
1524756267672	M	[458,124]
1524756267716	K4	[1,458,124]
1524756267790	M	[458,124]
1524756267804	K3	[1,458,124]
1524756267877	K4	[1,458,124]
1524756267906	M	[458,124]
1524756268010	A5	[8676,explorer.exe,company data]
1524756268010	A8	[8676,explorer.exe,Desktop\This PC\Windows10_OS (C:)\experiment\company data]
1524756268056	M	[458,128]
1524756268183	M	[458,134]
1524756268290	M	[458,134]
1524756268408	M	[458,134]
1524756268527	M	[458,134]
1524756268634	M	[458,134]
1524756268744	M	[458,134]
1524756268850	M	[458,134]
1524756268959	M	[460,134]
1524756269066	M	[460,134]
1524756269186	M	[458,129]
1524756269294	M	[457,124]
1524756269341	K3	[1,457,124]
1524756269409	M	[457,124]
1524756269436	K4	[1,457,124]
1524756269514	M	[457,124]
1524756269547	K3	[1,457,124]
1524756269612	K4	[1,457,124]
1524756269628	M	[457,124]
1524756269739	M	[457,124]
1524756269791	A1	[7240,NOTEPAD.EXE,2015_A.txt - Editor,1177,661,244,77]
1524756269791	A7	[7240#NOTEPAD.EXE;8676#explorer.exe;1600#cmd.exe;13260#LogiPresentationUI.exe;11904#googledrivesync.exe;11916#SystemSettings.exe;2756#ApplicationFrameHost.exe;10444#Explorer.EXE]
1524756269866	M	[457,124]
1524756269984	M	[457,124]
1524756270088	M	[457,124]
1524756270205	M	[457,124]
1524756270311	M	[457,124]
1524756270430	M	[457,124]
1524756270535	M	[457,124]
1524756270645	M	[457,124]
1524756270750	M	[457,124]
1524756270861	M	[457,124]
1524756270965	M	[457,124]
1524756271074	M	[665,129]
1524756271180	M	[1137,124]
1524756271289	M	[1144,124]
1524756271393	M	[1145,121]
1524756271503	M	[1253,96]
1524756271607	M	[1266,92]
1524756271722	M	[1278,88]
1524756271832	M	[1280,88]
1524756271935	M	[1283,88]
1524756272004	K3	[1,1284,87]
1524756272046	M	[1284,87]
1524756272076	K4	[1,1284,87]
1524756272152	M	[1245,92]
1524756272240	A7	[8676#explorer.exe;1600#cmd.exe;7240#NOTEPAD.EXE;13260#LogiPresentationUI.exe;11904#googledrivesync.exe;11916#SystemSettings.exe;2756#ApplicationFrameHost.exe;10444#Explorer.EXE]
1524756272240	A6	[7240,NOTEPAD.EXE,160,28,-32000,-32000]
1524756272240	A4	[7240,NOTEPAD.EXE]
1524756272261	M	[625,157]
1524756272365	M	[519,163]
1524756272481	M	[499,168]
1524756272584	M	[495,149]
1524756272698	M	[495,137]
1524756272708	K3	[1,495,137]
1524756272772	K4	[1,495,137]
1524756272803	M	[495,137]
1524756272846	K3	[1,495,137]
1524756272892	K4	[1,495,137]
1524756272915	M	[495,137]
1524756273023	M	[495,137]
1524756273074	A1	[15252,NOTEPAD.EXE,2015_B.txt - Editor,1177,661,244,77]
1524756273074	A7	[15252#NOTEPAD.EXE;8676#explorer.exe;1600#cmd.exe;7240#NOTEPAD.EXE;13260#LogiPresentationUI.exe;11904#googledrivesync.exe;11916#SystemSettings.exe;2756#ApplicationFrameHost.exe;10444#Explorer.EXE]
1524756273139	M	[725,140]
1524756273249	M	[1077,149]
1524756273369	M	[1244,148]
1524756273476	M	[1304,127]
1524756273591	M	[1306,113]
1524756273708	M	[1302,105]
1524756273814	M	[1301,102]
1524756273926	M	[1300,101]
1524756274012	K3	[1,1300,101]
1524756274031	M	[1300,101]
1524756274084	K4	[1,1300,101]
1524756274138	A4	[15252,NOTEPAD.EXE]
1524756274138	A7	[8676#explorer.exe;1600#cmd.exe;7240#NOTEPAD.EXE;15252#NOTEPAD.EXE;13260#LogiPresentationUI.exe;11904#googledrivesync.exe;11916#SystemSettings.exe;2756#ApplicationFrameHost.exe;10444#Explorer.EXE]
1524756274138	A6	[15252,NOTEPAD.EXE,160,28,-32000,-32000]
1524756274159	M	[1254,107]
1524756274264	M	[695,354]
1524756274372	M	[454,542]
1524756274474	M	[344,698]
1524756274590	M	[203,892]
1524756274696	M	[203,899]
1524756274811	M	[203,902]
1524756274925	M	[203,905]
1524756275040	M	[203,910]
1524756275143	M	[289,900]
1524756275256	M	[474,867]
1524756275367	M	[579,853]
1524756275473	M	[581,852]
1524756275591	M	[581,852]
1524756275695	M	[581,852]
1524756275811	M	[581,852]
1524756275836	K3	[1,581,852]
1524756275915	M	[581,852]
1524756275932	K4	[1,581,852]
1524756276027	M	[581,852]
1524756276131	M	[529,855]
1524756276245	M	[304,884]
1524756276350	M	[169,929]
1524756276462	M	[84,969]
1524756276565	M	[32,1005]
1524756276681	M	[19,1050]
1524756276786	M	[18,1067]
1524756276896	M	[18,1067]
1524756277001	M	[18,1067]
1524756277084	K3	[1,18,1067]
1524756277118	M	[18,1067]
1524756277188	K4	[1,18,1067]
1524756277227	M	[18,1067]
1524756277390	M	[18,1067]
1524756277506	M	[18,1067]
1524756277611	M	[18,1067]
1524756277728	M	[18,1067]
1524756277830	M	[18,1067]
1524756277950	M	[18,1067]
1524756278055	M	[18,1067]
1524756278170	M	[18,1067]
1524756278275	M	[18,1067]
1524756278388	M	[18,1067]
1524756278500	M	[18,1067]
1524756278603	M	[18,1066]
1524756278715	M	[21,1051]
1524756278820	M	[27,1041]
1524756278936	M	[79,968]
1524756279041	M	[179,858]
1524756279158	M	[276,725]
1524756279261	M	[298,696]
1524756279369	M	[298,693]
1524756279474	M	[298,693]
1524756279587	M	[298,693]
1524756279691	M	[298,693]
1524756279805	M	[298,693]
1524756279909	M	[298,693]
1524756280022	M	[298,693]
1524756280127	M	[298,693]
1524756280237	M	[298,693]
1524756280340	M	[298,693]
1524756280452	M	[298,693]
1524756280557	M	[298,693]
1524756280670	M	[298,693]
1524756280781	M	[298,693]
1524756280883	M	[298,693]
1524756280998	M	[298,693]
1524756281103	M	[298,693]
1524756281215	M	[298,693]
1524756281320	M	[298,693]
1524756281430	M	[298,693]
1524756281503	K1	[TEXT]
1524756281536	M	[298,693]
1524756281673	K1	[TEXT]
1524756281735	M	[298,693]
1524756281866	K1	[TEXT]
1524756282007	K1	[TEXT]
1524756282023	M	[298,693]
1524756282234	M	[298,693]
1524756282390	M	[298,693]
1524756282476	K1	[28]
1524756282509	M	[298,693]
1524756282565	K2	[28]
1524756282644	M	[298,693]
1524756282816	M	[298,693]
1524756282887	A7	[2756#ApplicationFrameHost.exe;8676#explorer.exe;1600#cmd.exe;7240#NOTEPAD.EXE;15252#NOTEPAD.EXE;13260#LogiPresentationUI.exe;11904#googledrivesync.exe;11916#SystemSettings.exe;2756#ApplicationFrameHost.exe;10444#Explorer.EXE]
1524756282887	A6	[2756,ApplicationFrameHost.exe,533,516,1031,52]
1524756282887	A5	[2756,ApplicationFrameHost.exe,Calculator]
1524756282942	M	[298,693]
1524756283002	A6	[2756,ApplicationFrameHost.exe,533,516,1031,52]
1524756283002	A1	[6656,Calculator.exe,Calculator,517,507,0,1]
1524756283002	A5	[2756,ApplicationFrameHost.exe,Calculator]
1524756283002	A7	[2756#ApplicationFrameHost.exe;6656#Calculator.exe;8676#explorer.exe;1600#cmd.exe;7240#NOTEPAD.EXE;15252#NOTEPAD.EXE;13260#LogiPresentationUI.exe;11904#googledrivesync.exe;11916#SystemSettings.exe;2756#ApplicationFrameHost.exe;10444#Explorer.EXE]
1524756283062	M	[298,693]
1524756283170	M	[298,693]
1524756283218	A5	[2756,ApplicationFrameHost.exe,Calculator]
1524756283218	A6	[2756,ApplicationFrameHost.exe,533,516,1031,52]
1524756283282	M	[298,693]
1524756283391	M	[448,603]
1524756283441	A2	[6656,Calculator.exe,Calculator]
1524756283517	M	[610,610]
1524756283634	M	[645,653]
1524756283742	M	[742,733]
1524756283859	M	[917,762]
1524756283963	M	[1220,802]
1524756284081	M	[1354,767]
1524756284184	M	[1355,736]
1524756284300	M	[1350,724]
1524756284404	K3	[1,1348,724]
1524756284407	M	[1348,724]
1524756284469	A7	[8676#explorer.exe;2756#ApplicationFrameHost.exe;1600#cmd.exe;7240#NOTEPAD.EXE;15252#NOTEPAD.EXE;13260#LogiPresentationUI.exe;11904#googledrivesync.exe;11916#SystemSettings.exe;2756#ApplicationFrameHost.exe;10444#Explorer.EXE]
1524756284492	K4	[1,1348,724]
1524756284521	M	[1348,724]
1524756284626	M	[1302,661]
1524756284678	A5	[2756,ApplicationFrameHost.exe,Calculator]
1524756284678	A6	[2756,ApplicationFrameHost.exe,533,516,1031,52]
1524756284741	M	[1105,512]
1524756284845	M	[818,364]
1524756284957	M	[455,220]
1524756285062	M	[330,148]
1524756285173	M	[266,75]
1524756285279	M	[172,101]
1524756285394	M	[90,96]
1524756285510	M	[44,77]
1524756285612	M	[29,71]
1524756285725	M	[23,70]
1524756285829	M	[17,68]
1524756285944	M	[13,65]
1524756285972	K3	[1,13,65]
1524756286050	M	[13,65]
1524756286060	K4	[1,13,65]
1524756286180	M	[13,65]
1524756286195	A5	[8676,explorer.exe,experiment]
1524756286195	A8	[8676,explorer.exe,Desktop\This PC\Windows10_OS (C:)\experiment]
1524756286291	M	[13,65]
1524756286403	M	[13,65]
1524756286509	M	[13,65]
1524756286625	M	[30,68]
1524756286729	M	[341,123]
